,Rank,Title,Year,Number of Episodes,Genre,Anime Type,Production House,Ratings,Comments
231,232,Major 5th Season,2009,25,Ganbatte,TV-Series,"SynergySP Co. ,Ltd.",4.09,Excellent
232,233,The Dangers in My Heart,2023,12,Romantic Comedy,TV-Series,"Shin-ei Animation Co., Ltd.",4.09,Excellent
233,234,Lycoris Recoil,2022,13,Action Drama,TV-Series,A-1 Pictures Inc.,4.08,Excellent
234,235,Heaven Official’s Blessing: Special Episode,2021,1,Adventure,Web,,4.24,Masterpiece
235,236,Fighting Spirit: Champion Road,2003,1,Ganbatte,TV-Special,MADHOUSE Inc.,4.08,Excellent
236,237,Laid-Back Camp Movie,2022,1,Slice of Life Comedy,Movie,"C-Station Co., Ltd",4.11,Excellent
237,238,86: Eighty Six,2021,11,Action Drama,TV-Series,A-1 Pictures Inc.,4.08,Excellent
238,239,The Seven Deadly Sins,2014,24,Action Drama,TV-Series,A-1 Pictures Inc.,4.07,Excellent
239,240,Kuroko’s Basketball,2012,25,Ganbatte,TV-Series,"Production I.G., Inc.",4.07,Excellent
240,241,Food Wars! The Fourth Plate,2019,12,Ganbatte,TV-Series,"J.C.STAFF Co., Ltd.",4.07,Excellent
241,242,Junjo Romantica 3,2015,12,Romance,TV-Series,"Studio DEEN Co., Ltd.",4.09,Excellent
242,243,Hellsing Ultimate,2006,10,Action,OVA,"Satelight Inc., MADHOUSE Inc., Graphinica, Inc.",4.07,Excellent
243,244,JoJo’s Bizarre Adventure: Stone Ocean (Part 3),2022,14,Fighting-Shounen,Web,David Production Inc.,4.11,Excellent
244,245,"Love, Chunibyo and Other Delusions! Take on Me",2018,1,Romantic Comedy,Movie,"Kyoto Animation Co., Ltd.",4.08,Excellent
245,246,Psycho-Pass,2012,22,Crime Fiction,TV-Series,"Production I.G., Inc.",4.07,Excellent
246,247,Given: The Movie,2020,1,Romantic Drama,Movie,Lerche,4.1,Excellent
247,248,Hunter × Hunter,1999,62,Fighting-Shounen,TV-Series,"Nippon Animation Co., Ltd.",4.07,Excellent
248,249,Horimiya: The Missing Pieces,2023,13,Romantic Comedy,TV-Series,CloverWorks Inc.,4.08,Excellent
249,250,Legend of the Galactic Heroes,1988,110,Action Drama,OVA,"T.P.O., Inc., Kitty Film Mitaka Studio",4.07,Excellent
250,251,Bungo Stray Dogs 4,2023,13,Action Comedy,TV-Series,BONES Inc.,4.1,Excellent
251,252,Black Lagoon,2006,12,Action,TV-Series,MADHOUSE Inc.,4.06,Excellent
252,253,Tengoku Daimakyo,2023,13,Adventure,TV-Series,"Production I.G., Inc.",4.07,Excellent
253,254,Ace of the Diamond: Act II,2019,52,Ganbatte,TV-Series,MADHOUSE Inc.,4.12,Excellent
254,255,Sound! Euphonium 3,2024,13,Slice of Life Drama,TV-Series,"Kyoto Animation Co., Ltd.",4.14,Excellent
255,256,Gurren Lagann The Movie: The Lights in the Sky are Stars,2009,1,Action,Movie,"Gainax Co., Ltd.",4.07,Excellent
256,257,Sword Art Online,2012,25,Action Drama,TV-Series,A-1 Pictures Inc.,4.06,Excellent
257,258,Sasaki and Miyano,2022,12,Comedy,TV-Series,"Studio DEEN Co., Ltd.",4.09,Excellent
258,259,Spice and Wolf: Merchant Meets the Wise Wolf,2024,25,Adventure,TV-Series,"Passione Co., Ltd.",4.08,Excellent
259,260,JoJo’s Bizarre Adventure: Stone Ocean,2021,12,Fighting-Shounen,Web,David Production Inc.,4.08,Excellent
260,261,Maid Sama!,2010,26,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",4.05,Excellent
261,262,Ghost in the Shell: S.A.C. 2nd GIG,2004,26,Action Drama,TV-Series,"Production I.G., Inc.",4.06,Excellent
262,263,Puella Magi Madoka Magica,2011,12,Drama,TV-Series,SHAFT Inc.,4.05,Excellent
263,264,Magi: The Kingdom of Magic,2013,25,Adventure,TV-Series,A-1 Pictures Inc.,4.05,Excellent
264,265,Quanzhi Gaoshou: Tebie Pian,2018,3,Action,Web,Chongqing Caise Qianbi Dongman Sheji Youxian Zeren Gongsi,4.08,Excellent
265,266,Sasaki and Miyano: Graduation,2023,1,Comedy,Movie,"Studio DEEN Co., Ltd.",4.2,Excellent
266,267,The Girl Who Leapt Through Time,2006,1,Drama,Movie,MADHOUSE Inc.,4.05,Excellent
267,268,One Piece: Stampede,2019,1,Fighting-Shounen,Movie,"Toei Animation Co., Ltd.",4.07,Excellent
268,269,Natsume Yujin-cho 5,2016,11,Slice of Life Drama,TV-Series,Shuka Inc.,4.08,Excellent
269,270,Evangelion: 3.0+1.01 Thrice upon a Time,2021,1,Action Drama,Movie,Studio Khara,4.06,Excellent
270,271,Girls Band Cry,2024,13,?,TV-Series,"Toei Animation Co., Ltd.",4.28,Masterpiece
271,272,Kingdom Season 2,2013,39,Action,TV-Series,"Pierrot Co., Ltd.",4.07,Excellent
272,273,Mobile Suit Gundam 00 Second Season,2008,25,Action Drama,TV-Series,SUNRISE Inc.,4.06,Excellent
273,274,Sword Art Online: The Movie - Progressive: Scherzo of Deep Night,2022,1,Action,Movie,A-1 Pictures Inc.,4.08,Excellent
274,275,Ghost in the Shell,1995,1,Action Drama,Movie,"Production I.G., Inc.",4.05,Excellent
275,276,The Seven Deadly Sins: Revival of The Commandments,2018,24,Adventure,TV-Series,A-1 Pictures Inc.,4.05,Excellent
276,277,Miss Kobayashi’s Dragon Maid S,2021,12,Slice of Life Comedy,TV-Series,"Kyoto Animation Co., Ltd.",4.06,Excellent
277,278,My Teen Romantic Comedy SNAFU: Climax!,2020,12,Slice of Life Drama,TV-Series,feel.,4.05,Excellent
278,279,Moriarty the Patriot Cour 2,2021,13,Drama,TV-Series,"Production I.G., Inc.",4.07,Excellent
279,280,Dororo,2019,24,Adventure,TV-Series,"Tezuka Productions Co., Ltd., MAPPA Co., Ltd.",4.05,Excellent
280,281,The Ancient Magus’ Bride: Season 2 (Cour 2),2023,12,Supernatural Drama,TV-Series,"Studio KAFKA Co., Ltd.",4.07,Excellent
281,282,Full Metal Panic? Fumoffu,2003,12,Comedy,TV-Series,"Kyoto Animation Co., Ltd.",4.05,Excellent
282,283,Laid-Back Camp,2018,12,Slice of Life Comedy,TV-Series,"C-Station Co., Ltd",4.05,Excellent
283,284,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,2015,24,Fighting-Shounen,TV-Series,David Production Inc.,4.05,Excellent
284,285,Kizumonogatari,2016,3,Ghost Stories,Movie,SHAFT Inc.,4.05,Excellent
285,286,The Boy and The Beast,2015,1,Adventure,Movie,"Chizu, Inc.",4.05,Excellent
286,287,Natsume’s Book of Friends 3,2011,13,Slice of Life Drama,TV-Series,Brain's Base,4.05,Excellent
287,288,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,2022,11,Action Comedy,TV-Series,"J.C.STAFF Co., Ltd.",4.05,Excellent
288,289,To Your Eternity,2021,20,Drama,TV-Series,Brain's Base,4.05,Excellent
289,290,Tsukimichi: Moonlit Fantasy - Season 2,2024,25,Adventure,TV-Series,"J.C.STAFF Co., Ltd.",4.05,Excellent
290,291,Clannad,2007,23,Sentimental Drama,TV-Series,"Kyoto Animation Co., Ltd.",4.04,Excellent
291,292,When They Cry,2006,26,Horror,TV-Series,"Studio DEEN Co., Ltd.",4.04,Excellent
292,293,Gintama: The Movie,2010,1,Nonsense-Comedy,Movie,SUNRISE Inc.,4.05,Excellent
293,294,Fruits Basket: Season 1,2019,25,Drama,TV-Series,"TMS Entertainment Co., Ltd.",4.04,Excellent
294,295,Golden Kamuy 3,2020,12,Adventure,TV-Series,Geno Studio Inc.,4.06,Excellent
295,296,Fairy Tail,2009,175,Fighting-Shounen,TV-Series,"Satelight Inc., A-1 Pictures Inc.",4.03,Excellent
296,297,Neon Genesis Evangelion: The End of Evangelion,1997,1,Action Drama,Movie,"Gainax Co., Ltd., Production I.G., Inc.",4.03,Excellent
297,298,Meitantei Conan: Kurogane no Submarine,2023,1,Crime Fiction,Movie,"TMS Entertainment Co., Ltd.",4.11,Excellent
298,299,When They Cry: Kai,2007,24,Drama,TV-Series,"Studio DEEN Co., Ltd.",4.03,Excellent
299,300,JoJo’s Bizarre Adventure: Stone Ocean (Part 2),2022,12,Fighting-Shounen,Web,David Production Inc.,4.07,Excellent
300,301,Eureka Seven,2005,50,Action Drama,TV-Series,BONES Inc.,4.03,Excellent
301,302,The King’s Avatar: For the Glory,2019,1,Action,Movie,Chongqing Caise Qianbi Dongman Sheji Youxian Zeren Gongsi,4.07,Excellent
302,303,Spice and Wolf: A Wolf and a Tail of Happiness,2008,1,Adventure,Bonus,"IMAGIN Co., Ltd.",4.03,Excellent
303,304,Chihayafuru Season 3,2019,24,Ganbatte,TV-Series,MADHOUSE Inc.,4.06,Excellent
304,305,Spy × Family: Season 2,2023,12,Action Comedy,TV-Series,"WIT STUDIO, Inc., CloverWorks Inc.",4.03,Excellent
305,306,ReLIFE,2016,13,Slice of Life Drama,Web,"TMS Entertainment Co., Ltd.",4.03,Excellent
306,307,Natsume’s Book of Friends 2,2009,13,Ghost Stories,TV-Series,Brain's Base,4.03,Excellent
307,308,Akatsuki no Yona: Zeno Kako-hen,2016,2,Action Drama,OVA,"Pierrot Co., Ltd.",4.05,Excellent
308,309,Sword Art Online: Alicization - War of Underworld,2019,12,Action Drama,TV-Series,A-1 Pictures Inc.,4.03,Excellent
309,310,Real Girl (Cour 2),2019,12,Romantic Drama,TV-Series,Hoods Entertainment Inc.,4.04,Excellent
310,311,Black Butler: Book of Murder,2014,2,Crime Fiction,OVA,A-1 Pictures Inc.,4.04,Excellent
311,312,Howl’s Moving Castle,2004,1,Adventure,Movie,Studio Ghibli Inc.,4.02,Excellent
312,313,"Kamisama Hajimemashita: Kamisama, Kekkon Zen’ya",2016,1,Romantic Comedy,OVA,"TMS Entertainment Co., Ltd.",4.07,Excellent
313,314,Grave of the Fireflies,1988,1,Drama,Movie,Studio Ghibli Inc.,4.03,Excellent
314,315,Kamisama Kiss 2,2015,12,Romantic Comedy,TV-Series,"TMS Entertainment Co., Ltd.",4.03,Excellent
315,316,Shelter,,"Video,",Drama,Musi,A-1 Pictures Inc.,4.03,Excellent
316,317,Neon Genesis Evangelion,1995,26,Action Drama,TV-Series,"Gainax Co., Ltd., Tatsunoko Production Co., Ltd.",4.02,Excellent
317,318,The Pet Girl of Sakurasou,2012,24,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",4.02,Excellent
318,319,The Fable,2024,25,Action,TV-Series,"Tezuka Productions Co., Ltd.",4.1,Excellent
319,320,Angel Beats!,2010,13,Sentimental Drama,TV-Series,"P.A. Works Co., Ltd.",4.02,Excellent
320,321,Aoashi,2022,24,Ganbatte,TV-Series,"Production I.G., Inc.",4.05,Excellent
321,322,Owarimonogatari,2015,12,Ghost Stories,TV-Series,SHAFT Inc.,4.03,Excellent
322,323,Bakuman.,2010,25,Ganbatte,TV-Series,"J.C.STAFF Co., Ltd.",4.02,Excellent
323,324,Rainbow,2010,26,Action Drama,TV-Series,MADHOUSE Inc.,4.02,Excellent
324,325,Major 6th Season,2010,25,Ganbatte,TV-Series,"SynergySP Co. ,Ltd.",4.03,Excellent
325,326,Terror in Resonance,2014,11,Thriller,TV-Series,"MAPPA Co., Ltd.",4.02,Excellent
326,327,Dragon Ball Super: Broly,2018,1,Fighting-Shounen,Movie,"Toei Animation Co., Ltd.",4.03,Excellent
327,328,Vivy: Fluorite Eye’s Song,2021,13,Action Drama,TV-Series,"WIT STUDIO, Inc.",4.03,Excellent
328,329,Snow White with the Red Hair Season 2,2016,12,Romance,TV-Series,BONES Inc.,4.02,Excellent
329,330,Given,2019,11,Romantic Drama,TV-Series,Lerche,4.03,Excellent
330,331,Overlord,2015,13,Action,TV-Series,MADHOUSE Inc.,4.02,Excellent
331,332,Moriarty the Patriot,2020,11,Drama,TV-Series,"Production I.G., Inc.",4.03,Excellent
332,333,My Happy Marriage,2023,12,Romantic Drama,TV-Series,"Kinema Citrus Co., Ltd.",4.03,Excellent
333,334,Junjo Romantica 2,2008,12,Romance,TV-Series,"Studio DEEN Co., Ltd.",4.02,Excellent
334,335,Detective Conan: The Darkest Nightmare,2016,1,Crime Fiction,Movie,"TMS Entertainment Co., Ltd.",4.03,Excellent
335,336,The King’s Avatar S2,2020,12,Action,Web,Chongqing Caise Qianbi Dongman Sheji Youxian Zeren Gongsi,4.05,Excellent
336,337,Nausicaä of the Valley of the Wind,1984,1,Adventure,Movie,Studio Ghibli Inc.,4.01,Excellent
337,338,Tsukigakirei,2017,12,Romance,TV-Series,feel.,4.02,Excellent
338,339,One Outs,2008,25,Thriller,TV-Series,MADHOUSE Inc.,4.02,Excellent
339,340,Puella Magi Madoka Magica The Movie: Part 3 - Rebellion,2013,1,Drama,Movie,SHAFT Inc.,4.02,Excellent
340,341,Teasing Master Takagi-san: The Movie,2022,1,Romantic Comedy,Movie,"Shin-ei Animation Co., Ltd.",4.08,Excellent
341,342,Code Geass: Lelouch of the Resurrection,2019,1,Action Drama,Movie,SUNRISE Inc.,4.03,Excellent
342,343,That Time I Got Reincarnated as a Slime: Visions of Coleus,2023,3,Adventure,Web,"8bit Corp, Inc.",4.03,Excellent
343,344,Legend of the Galactic Heroes: Die Neue These Second,2019,12,Action Drama,OVA,"Production I.G., Inc.",4.07,Excellent
344,345,Darling in the Franxx,2018,24,Action Drama,TV-Series,"Trigger Inc., CloverWorks Inc.",4.01,Excellent
345,346,Sekai Ichi Hatsukoi: World’s Greatest First Love,2011,12,Romance,TV-Series,"Studio DEEN Co., Ltd.",4.02,Excellent
346,347,Mobile Suit Gundam: Iron-Blooded Orphans 2,2016,25,Action Drama,TV-Series,SUNRISE Inc.,4.03,Excellent
347,348,When Marnie Was There,2014,1,Drama,Movie,Studio Ghibli Inc.,4.01,Excellent
348,349,Log Horizon,2013,25,Adventure,TV-Series,Satelight Inc.,4.01,Excellent
349,350,Fate/Stay Night: Unlimited Blade Works - Prologue,2014,1,Action Drama,TV-Special,"ufotable, Inc.",4.01,Excellent
350,351,Tokyo Revengers: Tenjiku Arc,2023,13,Action Drama,TV-Series,Liden Films Inc.,4.05,Excellent
351,352,Insomniacs after School,2023,13,Slice of Life Drama,TV-Series,Liden Films Inc.,4.03,Excellent
352,353,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,1,Action Drama,TV-Special,"ufotable, Inc.",4.06,Excellent
353,354,One Piece Film: Strong World,2009,1,Adventure,Movie,"Toei Animation Co., Ltd.",4.01,Excellent
354,355,Gintama,2006,201,Nonsense-Comedy,TV-Series,SUNRISE Inc.,4.0,Excellent
355,356,The Ancient Magus’ Bride,2017,24,Supernatural Drama,TV-Series,"WIT STUDIO, Inc.",4.01,Excellent
356,357,Bakemonogatari,2009,15,Ghost Stories,TV-Series,SHAFT Inc.,4.0,Excellent
357,358,Tonikawa: Over the Moon for You,2020,12,Romantic Comedy,TV-Series,Seven Arcs Ltd.,4.0,Excellent
358,359,A Certain Scientific Railgun T,2020,25,Action,TV-Series,"J.C.STAFF Co., Ltd.",4.02,Excellent
359,360,To Your Eternity: Season 2,2022,20,Drama,TV-Series,Drive Inc.,4.02,Excellent
360,361,Cowboy Bebop,1998,26,Action,TV-Series,SUNRISE Inc.,4.0,Excellent
361,362,Mob Psycho 100,2016,12,Action Comedy,TV-Series,BONES Inc.,4.0,Excellent
362,363,Baccano!,2007,13,Action,TV-Series,Brain's Base,4.0,Excellent
363,364,Black Butler: Book of Circus,2014,10,Action Drama,TV-Series,A-1 Pictures Inc.,4.0,Excellent
364,365,Evangelion: 1.11 - You Are (Not) Alone.,2007,1,Action Drama,Movie,Studio Khara,4.0,Excellent
365,366,One Punch Man Season 2,2019,12,Action Comedy,TV-Series,"J.C.STAFF Co., Ltd.",4.0,Excellent
366,367,Chihayafuru Season 2,2013,25,Ganbatte,TV-Series,MADHOUSE Inc.,4.01,Excellent
367,368,Golden Kamuy 2,2018,12,Adventure,TV-Series,Geno Studio Inc.,4.01,Excellent
368,369,Tsukimichi: Moonlit Fantasy,2021,12,Adventure,TV-Series,"C2C Co., Ltd.",4.0,Excellent
369,370,Sword Art Online: Alicization,2018,24,Action Drama,TV-Series,A-1 Pictures Inc.,4.0,Excellent
370,371,Girls & Panzer: Der Film,2015,1,Action Comedy,Movie,Actas Inc.,4.01,Excellent
371,372,Digimon Adventure: Last Evolution Kizuna,2020,1,Action Drama,Movie,"Yumeta Co., Ltd.",4.04,Excellent
372,373,Saenai Heroine no Sodatekata Fine,2019,1,Romantic Comedy,Movie,CloverWorks Inc.,4.02,Excellent
373,374,Classroom of the Elite,2017,12,Drama,TV-Series,Lerche,4.0,Excellent
374,375,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,2020,12,Action Drama,TV-Series,"J.C.STAFF Co., Ltd.",4.0,Excellent
375,376,Berserk,1997,25,Action Drama,TV-Series,"OLM, Inc.",3.99,Excellent
376,377,Nodame Cantabile,2007,23,Romantic Comedy,TV-Series,"J.C.STAFF Co., Ltd.",4.0,Excellent
377,378,Showa Genroku Rakugo Shinju,2016,13,Drama,TV-Series,"Studio DEEN Co., Ltd.",4.01,Excellent
378,379,Case Closed: Episode One - The Great Detective Turned Small,2016,1,Crime Fiction,TV-Special,"TMS Entertainment Co., Ltd.",4.01,Excellent
379,380,Puella Magi Madoka Magica the Movie - Part 2: Eternal,2012,1,Drama,Movie,SHAFT Inc.,4.01,Excellent
380,381,Assassination Classroom,2015,22,Action Comedy,TV-Series,Lerche,3.99,Excellent
381,382,Fire Force Season 2,2020,24,Action,TV-Series,David Production Inc.,3.99,Excellent
382,383,Champion Joe 2,1980,47,Ganbatte,TV-Series,"TMS Entertainment Co., Ltd.",4.19,Excellent
383,384,Idol,,"Video,",?,Musi,,4.1,Excellent
384,385,Sekai Ichi Hatsukoi: World’s Greatest First Love OVA,2011,2,Romance,OVA,"Studio DEEN Co., Ltd.",4.0,Excellent
385,386,Fairy Tail: 100 Years Quest,2024,25,Fighting-Shounen,TV-Series,"J.C.STAFF Co., Ltd.",4.11,Excellent
386,387,Re:Zero - Starting Life in Another World: Season 3,2024,16,Drama,TV-Series,"WHITE FOX Co., Ltd.",4.12,Excellent
387,388,The Ancient Magus’ Bride: Season 2,2023,12,Supernatural Drama,TV-Series,"Studio KAFKA Co., Ltd.",4.0,Excellent
388,389,Kuroko’s Basketball The Movie: Last Game,2017,1,Ganbatte,Movie,"Production I.G., Inc.",4.0,Excellent
389,390,"The Garden of Sinners: Ever Cry, Never Life (Remaining Sense of Pain)",2008,1,Action Drama,Movie,"ufotable, Inc.",3.99,Excellent
390,391,The Case Study of Vanitas (Season 2),2022,12,Adventure,TV-Series,BONES Inc.,4.0,Excellent
391,392,Major 2nd Season,2005,26,Ganbatte,TV-Series,"Studio Hibari Co., Ltd.",3.99,Excellent
392,393,Samurai Champloo,2004,26,Adventure,TV-Series,manglobe Inc.,3.98,Excellent
393,394,Kokoro Connect OVAs,2012,4,Romance,TV-Special,SILVER LINK.,3.99,Excellent
394,395,Tsubasa Tokyo Revelations,2007,3,Action Drama,OVA,"Production I.G., Inc.",3.99,Excellent
395,396,One Piece Film: Z,2012,1,Fighting-Shounen,Movie,"Toei Animation Co., Ltd.",3.99,Excellent
396,397,Teasing Master Takagi-san 3,2022,12,Romantic Comedy,TV-Series,"Shin-ei Animation Co., Ltd.",4.02,Excellent
397,398,Sword Art Online: Alicization - War of Underworld Part 2,2020,11,Action Drama,TV-Series,A-1 Pictures Inc.,3.98,Excellent
398,399,The Anthem of the Heart: Beautiful Word Beautiful World,2015,1,Drama,Movie,A-1 Pictures Inc.,3.98,Excellent
399,400,My Teen Romantic Comedy SNAFU: TOO!,2015,13,Slice of Life Drama,TV-Series,feel.,3.98,Excellent
400,401,KonoSuba: God’s Blessing on This Wonderful World! 2,2017,10,Adventure Comedy,TV-Series,"Studio DEEN Co., Ltd.",3.98,Excellent
401,402,Hajime no Ippo: The Fighting! Mashiba vs Kimura,2003,1,Ganbatte,OVA,MADHOUSE Inc.,3.99,Excellent
402,403,Carole & Tuesday,2019,24,Drama,TV-Series,BONES Inc.,3.99,Excellent
403,404,Taisho Otome Fairy Tale,2021,12,Romance,TV-Series,"SynergySP Co. ,Ltd.",4.0,Excellent
404,405,Astra Lost in Space,2019,12,Adventure,TV-Series,Lerche,3.99,Excellent
405,406,The Future Diary,2011,26,Thriller,TV-Series,asread,3.98,Excellent
406,407,Go-Toubun no Hanayome ∽,2023,1,Romantic Comedy,Movie,SHAFT Inc.,4.08,Excellent
407,408,Classroom of the Elite: Season 3,2024,13,Drama,TV-Series,Lerche,3.99,Excellent
408,409,The Melancholy of Haruhi Suzumiya,2006,14,Slice of Life Comedy,TV-Series,"Kyoto Animation Co., Ltd.",3.97,Excellent
409,410,Mobile Suit Gundam 00,2007,25,Action Drama,TV-Series,SUNRISE Inc.,3.98,Excellent
410,411,My Neighbor Totoro,1988,1,Ghost Stories,Movie,Studio Ghibli Inc.,3.97,Excellent
411,412,Major,2004,26,Ganbatte,TV-Series,"Studio Hibari Co., Ltd.",3.98,Excellent
412,413,Detroit Metal City,2008,12,Comedy,OVA,Studio 4°C,3.97,Excellent
413,414,Bluelock,2022,24,Ganbatte,TV-Series,"8bit Corp, Inc.",3.98,Excellent
414,415,Shadows House 2nd Season,2022,12,Supernatural Drama,TV-Series,CloverWorks Inc.,4.0,Excellent
415,416,Sound! Euphonium 2,2016,13,Slice of Life Drama,TV-Series,"Kyoto Animation Co., Ltd.",3.98,Excellent
416,417,My Hero Academia Season 5,2021,25,Action Comedy,TV-Series,BONES Inc.,3.97,Excellent
417,418,Bloom into You,2018,13,Romantic Drama,TV-Series,TROYCA Inc.,3.98,Excellent
418,419,Gate,2015,12,Action,TV-Series,A-1 Pictures Inc.,3.97,Excellent
419,420,Reincarnated as a Sword,2022,12,Adventure,TV-Series,"C2C Co., Ltd.",3.97,Excellent
420,421,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",2021,13,Drama,TV-Series,project No.9,3.97,Excellent
421,422,KonoSuba: God’s Blessing on This Wonderful World! 3,2024,11,Adventure,TV-Series,Drive Inc.,3.98,Excellent
422,423,My Love Story with Yamada-kun at Lv999,2023,13,Romance,TV-Series,MADHOUSE Inc.,3.97,Excellent
423,424,Charlotte,2015,13,Drama,TV-Series,"P.A. Works Co., Ltd.",3.97,Excellent
424,425,Tokyo Revengers: Christmas Showdown,2023,13,Action Drama,TV-Series,Liden Films Inc.,3.99,Excellent
425,426,Black Lagoon: Roberta’s Blood Trail,2010,5,Action,OVA,MADHOUSE Inc.,3.97,Excellent
426,427,IDOLiSH7 Second Beat!,2020,15,Ganbatte,TV-Series,TROYCA Inc.,4.11,Excellent
427,428,Bungo Stray Dogs 3,2019,12,Action Comedy,TV-Series,BONES Inc.,3.97,Excellent
428,429,Saga of Tanya the Evil,2017,12,Action,TV-Series,Nut Inc.,3.97,Excellent
429,430,Full Metal Panic!,2002,24,Action Comedy,TV-Series,Gonzo K.K.,3.96,Excellent
430,431,Death Parade,2015,12,Drama,TV-Series,MADHOUSE Inc.,3.96,Excellent
431,432,Tomo-chan Is a Girl!,2023,13,Romantic Comedy,TV-Series,Lay-duce Inc.,3.97,Excellent
432,433,Star Blazers 2199,2012,26,Adventure,OVA,"XEBEC, Inc.",3.97,Excellent
433,434,Tonikawa: Over the Moon for You - Uniform,2022,1,Romantic Comedy,Web,Seven Arcs Ltd.,3.99,Excellent
434,435,Katanagatari,2010,12,Adventure,TV-Series,"WHITE FOX Co., Ltd.",3.96,Excellent
435,436,Fate/Zero,2011,13,Action Drama,TV-Series,"ufotable, Inc.",3.96,Excellent
436,437,The Disastrous Life of Saiki K. Season 3,2018,1,Slice of Life Comedy,TV-Special,"EGG FIRM, J.C.STAFF Co., Ltd.",3.98,Excellent
437,438,Fire Force,2019,24,Action,TV-Series,David Production Inc.,3.96,Excellent
438,439,Patema Inverted,2013,1,Adventure,Movie,"Studio Rikka Ltd., Asmik Ace Co., Ltd.",3.96,Excellent
439,440,Darker than Black,2007,25,Action,TV-Series,BONES Inc.,3.96,Excellent
440,441,Overlord II,2017,13,Action,TV-Series,MADHOUSE Inc.,3.96,Excellent
441,442,Non Non Biyori Nonstop,2021,12,Slice of Life Comedy,TV-Series,SILVER LINK.,4.0,Excellent
442,443,Macross Frontier,2007,25,Action,TV-Series,Satelight Inc.,3.96,Excellent
443,444,Komi Can’t Communicate (Part 2),2022,12,Romantic Comedy,TV-Series,"OLM, Inc.",3.97,Excellent
444,445,Welcome to the Ballroom,2017,24,Ganbatte,TV-Series,"Production I.G., Inc.",3.97,Excellent
445,446,"Bofuri: I Don’t Want to Get Hurt, So I’ll Max Out My Defense.",2020,12,Action Comedy,TV-Series,SILVER LINK.,3.96,Excellent
446,447,Case Closed: The Phantom of Baker Street,2002,1,Crime Fiction,Movie,"TMS Entertainment Co., Ltd.",3.96,Excellent
447,448,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,13,Action Comedy,TV-Series,"J.C.STAFF Co., Ltd.",3.96,Excellent
448,449,World Trigger 3rd Season,2021,14,Fighting-Shounen,TV-Series,"Toei Animation Co., Ltd.",3.99,Excellent
449,450,Initial D: Fourth Stage,2004,24,Ganbatte,TV-Series,"ACGT Co., Ltd.",3.96,Excellent
